round,train_loss,test_loss,accuracy,precision,recall,f1
1,1.8319310581655526,1.666943002882458,0.3878224355128974,0.43465956950399853,0.39171675884890866,0.36189336933427885
2,1.600309575776116,1.5465804792585827,0.4358128374325135,0.44290679909422587,0.4378391471324674,0.42903232152685106
3,1.4904183649616563,1.49985549336388,0.45290941811637675,0.45801863557327926,0.45491321577173627,0.4387263223916598
4,1.4100814088643026,1.4161770616258893,0.4874025194961008,0.49534586533053304,0.49224995106370245,0.4772103026836369
5,1.3541296235949016,1.3981057337352207,0.4946010797840432,0.510871615701501,0.49720886311841833,0.4794848441588714
6,1.3023883340170057,1.336738960515885,0.5125974805038992,0.5212018714855464,0.5122193712940474,0.5051191416723386
7,1.2619299211090418,1.3387260908172245,0.5176964607078585,0.5257682566878459,0.5208199145471137,0.511930206101658
8,1.2275190199021813,1.280524149962834,0.5458908218356329,0.546455317222615,0.5470501643608527,0.539506506268647
9,1.1978730982441983,1.2521047586486453,0.5545890821835633,0.5498115101417727,0.5549521131289084,0.5491768826277375
10,1.1713640596940935,1.2718616513978867,0.55248950209958,0.5656614572776757,0.5544687052311877,0.5527021864309678
